iter	RMSE
0	5.223992692
1	4.192706872
2	3.368917913
3	2.712084438
4	2.189357152
5	1.776477706
6	1.450766676
7	1.195561968
8	0.9978871573
9	0.8466119111
10	0.7319550178
11	0.6475566863
12	0.5871379814
13	0.5435635208
14	0.5129458023
15	0.4920533565
16	0.4772859517
17	0.4668425402
18	0.4594137598
19	0.4545950706
20	0.4502022332
21	0.4459709864
22	0.4430407511
23	0.4409847469
24	0.4396054594
25	0.4386750336
26	0.4376322047
27	0.4367485905
28	0.4350005894
29	0.4337479271
30	0.4330149586
31	0.4321294223
32	0.4310385647
33	0.4302642737
34	0.4295811893
35	0.4286176754
36	0.4278315575
37	0.4273394085
38	0.4266202961
39	0.4260362868
40	0.4253483555
41	0.4249958725
42	0.4245165385
43	0.4241325337
44	0.4235920598
45	0.4233040004
46	0.4226953577
47	0.4222314636
48	0.4218014607
49	0.4215066443
50	0.4213417143
51	0.4206310394
52	0.4202050131
53	0.4198385517
54	0.4196252976
55	0.4190943311
56	0.4186022216
57	0.4182210982
58	0.4180203896
59	0.4177126448
60	0.4173009378
61	0.4168920746
62	0.4165798839
63	0.4163853964
64	0.4162376163
65	0.4160229982
66	0.4159015289
67	0.415691305
68	0.4152224607
69	0.4149523025
70	0.4143713505
71	0.4141467363
72	0.4139709524
73	0.4135771848
74	0.413297698
75	0.4128885935
76	0.412546686
77	0.412280733
78	0.4120541575
79	0.4119383917
80	0.4117991359
81	0.4113216833
82	0.4109702798
83	0.4105779545
84	0.4104705692
85	0.4102064615
86	0.4098763962
87	0.4096779382
88	0.4094292215
89	0.409129151
90	0.4087858085
91	0.4086771161
92	0.4083848681
93	0.4081415165
94	0.4078994759
95	0.4076664009
96	0.4074520781
97	0.407380816
98	0.4071712317
99	0.4069315417
100	0.4065886794
101	0.4064861262
102	0.4063275511
103	0.4061739125
104	0.4059624451
105	0.4057187322
106	0.4053951449
107	0.4052751144
108	0.4051268564
109	0.4049789308
110	0.4048155855
111	0.4046106605
112	0.4044276118
113	0.404297485
114	0.4041766187
115	0.4038515261
116	0.4035586056
117	0.403389916
118	0.4032684235
119	0.4030786951
120	0.403003975
121	0.4027871338
122	0.4026384725
123	0.4025377444
124	0.402396771
125	0.402254196
126	0.4020916264
127	0.402039321
128	0.4018902809
129	0.4017933714
130	0.4015061468
131	0.4014064106
132	0.4011383559
133	0.4010316888
134	0.4007624582
135	0.400665187
136	0.4006136573
137	0.4004780625
138	0.4003902124
139	0.4002671755
140	0.4001027899
141	0.4000192292
142	0.3998161542
143	0.3996000305
144	0.3995572185
145	0.3993684895
146	0.3992345445
147	0.3991179405
148	0.3989921696
149	0.3989409134
150	0.3988648014
151	0.3987786895
152	0.3986265796
153	0.3984931133
154	0.3983636924
155	0.3982008148
156	0.3979123423
157	0.3976849617
158	0.3975496856
159	0.3974857686
160	0.3972796843
161	0.397190004
162	0.3969960223
163	0.3968515524
164	0.3966635761
165	0.3964935047
166	0.3963909277
167	0.3962746559
168	0.3962331645
169	0.3960317741
170	0.3958358607
171	0.3957713738
172	0.395712682
173	0.3956056351
174	0.3953830332
175	0.3952329214
176	0.3951381092
177	0.394917821
178	0.394796816
179	0.3946192756
180	0.3943953483
181	0.3942759812
182	0.3941476926
183	0.3940855002
184	0.3939131614
185	0.3937572186
186	0.3937054325
187	0.3935795789
188	0.3934458132
189	0.3933367641
190	0.3931697668
191	0.3930494867
192	0.3928640477
193	0.3927507874
194	0.3926680363
195	0.3925085487
196	0.3923313477
197	0.3922331453
198	0.392097603
199	0.3919501246
200	0.3918950784
201	0.3918187427
202	0.391692438
203	0.3916433198
204	0.3915567485
205	0.3913907109
206	0.3913536858
207	0.3913052477
208	0.3911548506
209	0.3910557864
210	0.3909144149
211	0.3908383602
212	0.3907262792
213	0.3906151212
214	0.3904277985
215	0.390326519
216	0.3902571956
217	0.390152453
218	0.3900753644
219	0.3899955845
220	0.3897941131
221	0.3896690727
222	0.3896182425
223	0.3894102007
224	0.3893159143
225	0.3892417188
226	0.3890706391
227	0.3889724548
228	0.3889154599
229	0.3887818145
230	0.3886128372
231	0.3885853453
232	0.3884549993
233	0.3884093056
234	0.3882317139
235	0.3881097416
236	0.3880070288
237	0.3878814842
238	0.3877952531
239	0.3876913239
240	0.3876340739
241	0.3875232959
242	0.3874238556
243	0.3873016085
244	0.3871489393
245	0.386986084
246	0.3868748907
247	0.3868078827
248	0.3867408532
249	0.3866775273
