iter	Passed	Remaining
0	2544	633603
1	4975	617016
2	6556	539799
3	9134	561742
4	11709	573743
5	14030	570564
6	15791	548191
7	18141	548781
8	20501	548985
9	22945	550694
10	25876	562223
11	28573	566716
12	30948	564219
13	33457	563990
14	35989	563832
15	38325	560504
16	40857	559990
17	43475	560344
18	45900	558051
19	48320	555688
20	50542	551153
21	52613	545263
22	54588	538768
23	56720	534122
24	59304	533738
25	61589	530618
26	63886	527654
27	66265	525388
28	68503	522042
29	70766	518952
30	73298	517819
31	75317	513103
32	77328	508495
33	79420	504552
34	81744	502143
35	83992	499289
36	86159	496002
37	88680	494745
38	91374	494360
39	93778	492335
40	95967	489199
41	98345	487041
42	100193	482325
43	102344	479160
44	104721	477063
45	107216	475482
46	109238	471817
47	111324	468491
48	113473	465473
49	115481	461926
50	117639	459026
51	120003	456934
52	122416	455021
53	124770	452871
54	126996	450259
55	129364	448157
56	131747	446092
57	134235	444366
58	136597	442204
59	138925	439930
60	141332	437899
61	143769	435947
62	145965	433263
63	148169	430616
64	150318	427828
65	153022	426606
66	155931	425902
67	158293	423667
68	160472	420948
69	162908	418908
70	165122	416295
71	167431	413927
72	170058	412333
73	172428	410100
74	174522	407218
75	176667	404474
76	179002	402174
77	181269	399723
78	183253	396662
79	185874	394982
80	188170	392602
81	190379	390046
82	192857	388038
83	194670	384705
84	196995	382403
85	199204	379879
86	201787	378061
87	204184	375884
88	206437	373442
89	208592	370830
90	211018	368703
91	213108	365991
92	215117	363155
93	217507	360970
94	219850	358704
95	222252	356530
96	224799	354579
97	227040	352144
98	229356	349825
99	231444	347167
100	233962	345153
101	236272	342826
102	238552	340458
103	240939	338241
104	243301	335988
105	245537	333559
106	247864	331257
107	250602	329495
108	252856	327089
109	255409	325066
110	257688	322690
111	260068	320441
112	262463	318208
113	264917	316041
114	267580	314116
115	269864	311740
116	271972	309165
117	274424	306983
118	276718	304622
119	278991	302240
120	281509	300122
121	283879	297840
122	286132	295437
123	288534	293188
124	290670	290670
125	292760	288113
126	294896	285608
127	297484	283540
128	299946	281344
129	302319	279063
130	305006	277067
131	307723	275086
132	310155	272843
133	312908	270875
134	315171	268479
135	317652	266267
136	319948	263898
137	322263	261547
138	324588	259203
139	326754	256735
140	329266	254539
141	331728	252300
142	333731	249715
143	336156	247448
144	338481	245107
145	340623	242635
146	342982	240321
147	345255	237946
148	347560	235594
149	349482	232988
150	351760	230624
151	354214	228374
152	356907	226274
153	359293	223975
154	361966	221850
155	364343	219540
156	366473	217082
157	368659	214662
158	370845	212245
159	372705	209646
160	374604	207079
161	377081	204834
162	379292	202444
163	381333	199967
164	383660	197643
165	385970	195310
166	389291	193480
167	391811	191241
168	394310	188989
169	396695	186680
170	398969	184319
171	400967	181834
172	403455	179572
173	405733	177216
174	407653	174708
175	410070	172415
176	412240	170020
177	414656	167726
178	416976	165392
179	419568	163165
180	422201	160949
181	424744	158695
182	427240	156421
183	429260	153973
184	431615	151648
185	433830	149275
186	436231	146965
187	438359	144565
188	440688	142232
189	443131	139936
190	445173	137514
191	447420	135158
192	449431	132733
193	452054	130490
194	454406	128166
195	457053	125922
196	459285	123564
197	461525	121208
198	463932	118897
199	466191	116547
200	468483	114207
201	471052	111933
202	473405	109606
203	475923	107316
204	478349	105003
205	480582	102648
206	482842	100300
207	485138	97960
208	487721	95677
209	490381	93405
210	492701	91067
211	495327	88785
212	497693	86453
213	499866	84089
214	502219	81756
215	504083	79346
216	506588	77038
217	508854	74694
218	511379	72387
219	513793	70062
220	515883	67695
221	518185	65356
222	520385	63006
223	522806	60682
224	525162	58351
225	527524	56020
226	529971	53697
227	532435	51375
228	534863	49048
229	537176	46710
230	539446	44370
231	541768	42033
232	543895	39683
233	546097	37340
234	548346	35000
235	550537	32658
236	553321	30350
237	556042	28035
238	558297	25695
239	560809	23367
240	562933	21022
241	565349	18689
242	567708	16353
243	570225	14021
244	572690	11687
245	574972	9349
246	577286	7011
247	580176	4678
248	582478	2339
249	584858	0
